pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
AHam	dDocent_Contig_30	1	1000	0.0	174	0	82709	1102
CBat	dDocent_Contig_30	1	1000	0.0	174	0	584358	276
AHam	dDocent_Contig_31	1	1000	0.0016488612551956	98	48	29111	1106
CBat	dDocent_Contig_31	1	1000	0.0012596998541922	98	381	302453	486
AHam	dDocent_Contig_100	1	1000	0.0	109	0	53735	462
CBat	dDocent_Contig_100	1	1000	0.0	109	0	347583	398
AHam	dDocent_Contig_108	1	1000	0.0	111	0	68639	38
CBat	dDocent_Contig_108	1	1000	0.0	111	0	385791	14
AHam	dDocent_Contig_110	1	1000	0.0	45	0	25245	90
CBat	dDocent_Contig_110	1	1000	0.0	45	0	155220	20
AHam	dDocent_Contig_114	1	1000	0.0033965607771068	125	207	60944	548
CBat	dDocent_Contig_114	1	1000	0.0035898864234209	125	1508	420069	194
AHam	dDocent_Contig_115	1	1000	0.0	161	0	84716	524
CBat	dDocent_Contig_115	1	1000	0.0	161	0	546778	176
AHam	dDocent_Contig_121	1	1000	0.0035450707402752	131	220	62058	624
CBat	dDocent_Contig_121	1	1000	0.0048788193760789	131	2131	436786	248
AHam	dDocent_Contig_122	1	1000	0.0	27	0	11289	178
CBat	dDocent_Contig_122	1	1000	0.0	27	0	63303	406
AHam	dDocent_Contig_125	1	1000	0.0	121	0	68372	236
CBat	dDocent_Contig_125	1	1000	0.0	121	0	388171	414
AHam	dDocent_Contig_135	1	1000	0.0	98	0	52057	294
CBat	dDocent_Contig_135	1	1000	0.0	98	0	288407	666
AHam	dDocent_Contig_136	1	1000	0.0056154097290238	62	172	30630	252
CBat	dDocent_Contig_136	1	1000	0.0074908636917352	62	1236	165001	654
AHam	dDocent_Contig_137	1	1000	0.0014546789820071	120	103	70806	156
CBat	dDocent_Contig_137	1	1000	0.001752965901278	120	719	410162	100
AHam	dDocent_Contig_139	1	1000	0.0	59	0	37170	0
CBat	dDocent_Contig_139	1	1000	0.0	59	0	164312	524
AHam	dDocent_Contig_150	1	1000	0.004960520204366	105	267	53825	378
CBat	dDocent_Contig_150	1	1000	0.0065182561767434	105	2319	355770	128
AHam	dDocent_Contig_155	1	1000	0.0029671103362725	124	177	59654	564
CBat	dDocent_Contig_155	1	1000	0.0044180195689309	124	1663	376413	694
AHam	dDocent_Contig_158	1	1000	0.0	61	0	21916	532
CBat	dDocent_Contig_158	1	1000	0.0	61	0	179840	412
AHam	dDocent_Contig_162	1	1000	0.0141472996534904	102	641	45309	582
CBat	dDocent_Contig_162	1	1000	0.0187458095050285	102	4753	253550	1332
AHam	dDocent_Contig_163	1	1000	0.000806850420343	95	31	38421	730
CBat	dDocent_Contig_163	1	1000	0.0015943627887113	95	448	280990	632
AHam	dDocent_Contig_164	1	1000	0.0040272614622057	77	143	35508	396
CBat	dDocent_Contig_164	1	1000	0.0069857016403639	77	1752	250798	216
AHam	dDocent_Contig_171	1	1000	0.0	147	0	69741	722
CBat	dDocent_Contig_171	1	1000	0.0	147	0	501555	134
AHam	dDocent_Contig_172	1	1000	0.0018328242154956	88	99	54015	42
CBat	dDocent_Contig_172	1	1000	0.0009028312288073	88	217	240355	850
AHam	dDocent_Contig_173	1	1000	0.0030058237835806	123	192	63876	412
CBat	dDocent_Contig_173	1	1000	0.005992288915873	123	2423	404353	298
AHam	dDocent_Contig_179	1	1000	0.0	78	0	38911	306
CBat	dDocent_Contig_179	1	1000	0.0003400077316826	78	73	214701	726
AHam	dDocent_Contig_181	1	1000	0.0028175493071128	109	147	52173	498
CBat	dDocent_Contig_181	1	1000	0.0009265972520976	109	308	332399	590
AHam	dDocent_Contig_182	1	1000	0.0083361120373457	72	200	23992	704
CBat	dDocent_Contig_182	1	1000	0.0084006387262502	72	1452	172844	1024
AHam	dDocent_Contig_183	1	1000	0.0010904224560939	114	66	60527	338
CBat	dDocent_Contig_183	1	1000	0.0034332271481155	114	1206	351273	574
AHam	dDocent_Contig_185	1	1000	0.0017097338255294	133	132	77205	210
CBat	dDocent_Contig_185	1	1000	0.0040980311584363	133	1835	447776	196
AHam	dDocent_Contig_186	1	1000	0.0	13	0	7293	26
CBat	dDocent_Contig_186	1	1000	0.0	13	0	38733	82
AHam	dDocent_Contig_188	1	1000	0.0	119	0	48059	886
CBat	dDocent_Contig_188	1	1000	0.0	119	0	384383	374
AHam	dDocent_Contig_193	1	1000	0.0003942151739052	148	35	88784	136
CBat	dDocent_Contig_193	1	1000	0.0015862043708742	148	693	436892	992
AHam	dDocent_Contig_194	1	1000	0.0044813325840429	119	311	69399	166
CBat	dDocent_Contig_194	1	1000	0.0036142817279455	119	1360	376285	482
AHam	dDocent_Contig_195	1	1000	0.0	165	0	81470	704
CBat	dDocent_Contig_195	1	1000	0.0002772584119491	165	156	562652	156
AHam	dDocent_Contig_203	1	1000	0.0021974825897978	106	136	61889	150
CBat	dDocent_Contig_203	1	1000	0.0046843674854359	106	1687	360134	116
AHam	dDocent_Contig_209	1	1000	0.0011259066796578	129	52	46185	1130
CBat	dDocent_Contig_209	1	1000	0.0001945651468966	129	81	416313	410
AHam	dDocent_Contig_221	1	1000	0.0012349359110846	105	58	46966	592
CBat	dDocent_Contig_221	1	1000	0.0018786703339032	105	556	295954	888
AHam	dDocent_Contig_227	1	1000	0.0036738999040045	164	310	84379	602
CBat	dDocent_Contig_227	1	1000	0.0036922411531562	164	2083	564156	96
AHam	dDocent_Contig_229	1	1000	0.0	99	0	56729	178
CBat	dDocent_Contig_229	1	1000	0.0005249108169615	99	152	289573	698
AHam	dDocent_Contig_232	1	1000	0.0	183	0	91275	846
CBat	dDocent_Contig_232	1	1000	0.0002628349760519	183	166	631575	78
AHam	dDocent_Contig_239	1	1000	0.0	85	0	52584	28
CBat	dDocent_Contig_239	1	1000	0.0	85	0	294990	16
AHam	dDocent_Contig_248	1	1000	0.0	158	0	84171	498
CBat	dDocent_Contig_248	1	1000	0.0	158	0	540284	128
AHam	dDocent_Contig_255	1	1000	0.000444756890145	157	31	69701	930
CBat	dDocent_Contig_255	1	1000	0.0001548854899066	157	81	522967	302
AHam	dDocent_Contig_256	1	1000	0.0008220849134158	177	62	75418	1136
CBat	dDocent_Contig_256	1	1000	0.0	177	0	605749	138
AHam	dDocent_Contig_257	1	1000	0.0005222026146144	144	29	55534	1132
CBat	dDocent_Contig_257	1	1000	0.000341129565273	144	160	469030	404
AHam	dDocent_Contig_262	1	1000	0.0	37	0	18352	148
CBat	dDocent_Contig_262	1	1000	0.0	37	0	128982	0
AHam	dDocent_Contig_264	1	1000	0.0004406664013191	150	31	70348	736
CBat	dDocent_Contig_264	1	1000	0.0004834320916034	150	245	506793	198
AHam	dDocent_Contig_265	1	1000	0.0	43	0	27021	2
CBat	dDocent_Contig_265	1	1000	0.0	43	0	149898	0
AHam	dDocent_Contig_267	1	1000	0.0005848160487701	100	33	56428	192
CBat	dDocent_Contig_267	1	1000	0.0018917716827279	100	638	337250	140
AHam	dDocent_Contig_273	1	1000	0.0	61	0	26079	382
CBat	dDocent_Contig_273	1	1000	0.0	61	0	174385	482
AHam	dDocent_Contig_275	1	1000	0.0066340019889877	134	547	82454	60
CBat	dDocent_Contig_275	1	1000	0.00691244755746	134	3086	446441	254
AHam	dDocent_Contig_276	1	1000	0.0	52	0	20036	408
CBat	dDocent_Contig_276	1	1000	0.0	52	0	123843	754
AHam	dDocent_Contig_286	1	1000	0.0005998452012383	111	31	51680	564
CBat	dDocent_Contig_286	1	1000	0.0	111	0	362235	302
AHam	dDocent_Contig_288	1	1000	0.0019465218727589	58	19	9761	998
CBat	dDocent_Contig_288	1	1000	0.0051181659512241	58	868	169592	408
AHam	dDocent_Contig_292	1	1000	0.0009245414388604	146	81	87611	130
CBat	dDocent_Contig_292	1	1000	0.0041066802565082	146	1934	470940	472
AHam	dDocent_Contig_293	1	1000	0.00046943014026	154	33	70298	844
CBat	dDocent_Contig_293	1	1000	0.0007615714450392	154	403	529169	94
AHam	dDocent_Contig_295	1	1000	0.0	102	0	34442	988
CBat	dDocent_Contig_295	1	1000	0.0012644768227146	102	396	313173	526
AHam	dDocent_Contig_297	1	1000	0.0	27	0	11745	162
CBat	dDocent_Contig_297	1	1000	0.0	27	0	78951	190
AHam	dDocent_Contig_303	1	1000	0.0004889975550122	103	25	51125	426
CBat	dDocent_Contig_303	1	1000	0.0007494079677055	103	225	300237	738
AHam	dDocent_Contig_313	1	1000	0.0009502812832598	74	25	26308	656
CBat	dDocent_Contig_313	1	1000	0.0013459580793689	74	316	234777	286
AHam	dDocent_Contig_314	1	1000	0.0003729136126327	137	29	77766	256
CBat	dDocent_Contig_314	1	1000	0.0013802622498274	137	622	450639	334
AHam	dDocent_Contig_323	1	1000	0.0033072724935432	153	283	85569	338
CBat	dDocent_Contig_323	1	1000	0.0031338894981406	153	1506	480553	658
AHam	dDocent_Contig_331	1	1000	0.0	91	0	42049	474
