pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
AHam	CBat	dDocent_Contig_31	1	1000	0.0231295160334189	2
AHam	CBat	dDocent_Contig_114	1	1000	-0.0218121463359601	1
AHam	CBat	dDocent_Contig_121	1	1000	-0.0191613230184617	7
AHam	CBat	dDocent_Contig_136	1	1000	-0.0041123782266251	4
AHam	CBat	dDocent_Contig_137	1	1000	-0.0059181028077693	3
AHam	CBat	dDocent_Contig_150	1	1000	0.0046377302913424	2
AHam	CBat	dDocent_Contig_155	1	1000	0.0230511739146637	4
AHam	CBat	dDocent_Contig_162	1	1000	0.0192523418054574	8
AHam	CBat	dDocent_Contig_163	1	1000	0.0039849447698239	3
AHam	CBat	dDocent_Contig_164	1	1000	0.0146125142638945	6
AHam	CBat	dDocent_Contig_172	1	1000	0.0010693971998663	3
AHam	CBat	dDocent_Contig_173	1	1000	-0.0067393276370687	10
AHam	CBat	dDocent_Contig_179	1	1000	-0.0130486422431868	1
AHam	CBat	dDocent_Contig_181	1	1000	0.0410621482051774	4
AHam	CBat	dDocent_Contig_182	1	1000	-0.0142196191124682	3
AHam	CBat	dDocent_Contig_183	1	1000	0.0077337374102864	4
AHam	CBat	dDocent_Contig_185	1	1000	-0.0050541022891667	7
AHam	CBat	dDocent_Contig_193	1	1000	-0.0084019729331917	6
AHam	CBat	dDocent_Contig_194	1	1000	0.0406946929530342	3
AHam	CBat	dDocent_Contig_195	1	1000	-0.0070031351345705	1
AHam	CBat	dDocent_Contig_203	1	1000	0.0017060815244494	7
AHam	CBat	dDocent_Contig_209	1	1000	0.04173195941621	1
AHam	CBat	dDocent_Contig_221	1	1000	0.0302122380712216	3
AHam	CBat	dDocent_Contig_227	1	1000	-0.0136539998027798	2
AHam	CBat	dDocent_Contig_229	1	1000	-0.0023912519550149	1
AHam	CBat	dDocent_Contig_232	1	1000	-0.0121111413552461	2
AHam	CBat	dDocent_Contig_255	1	1000	-0.0113627122019174	1
AHam	CBat	dDocent_Contig_256	1	1000	0.0349491351760144	2
AHam	CBat	dDocent_Contig_257	1	1000	-0.0214813135453992	1
AHam	CBat	dDocent_Contig_264	1	1000	-0.0013274595378107	4
AHam	CBat	dDocent_Contig_267	1	1000	-0.0145166487572522	5
AHam	CBat	dDocent_Contig_275	1	1000	-0.0059619602881588	3
AHam	CBat	dDocent_Contig_286	1	1000	0.0338692426531754	1
AHam	CBat	dDocent_Contig_288	1	1000	0.041410928957537	1
AHam	CBat	dDocent_Contig_292	1	1000	-0.0057303696926004	7
